Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,outcome
b1_0,Loan__application_received,,2004-02-02 18:00:00,Variant 38,38,
b1_1,Loan__application_received,,2004-02-02 18:30:00,Variant 7,7,
b1_2,Loan__application_received,,2004-02-02 19:00:00,Variant 4,4,
b1_1,Check__application__form_completeness,,2004-02-02 19:00:48,Variant 7,7,
b1_0,Check__application__form_completeness,,2004-02-02 19:00:56,Variant 38,38,
b1_0,Return_application_back_to_applicant,,2004-02-02 19:01:07,Variant 38,38,
b1_1,Appraise_property,,2004-02-02 19:04:50,Variant 7,7,
b1_1,Check_credit_history,,2004-02-02 19:09:13,Variant 7,7,
b1_2,Check__application__form_completeness,,2004-02-02 19:21:05,Variant 4,4,
b1_3,Loan__application_received,,2004-02-02 19:30:00,Variant 1,1,
b1_2,Appraise_property,,2004-02-02 19:35:44,Variant 4,4,
b1_0,Receive_updated_application,,2004-02-02 19:51:43,Variant 38,38,
b1_4,Loan__application_received,,2004-02-02 20:00:00,Variant 36,36,
b1_4,Check__application__form_completeness,,2004-02-02 20:04:07,Variant 36,36,
b1_1,Assess_loan_risk,,2004-02-02 20:04:13,Variant 7,7,
b1_0,Check__application__form_completeness,,2004-02-02 20:04:21,Variant 38,38,
b1_2,Check_credit_history,,2004-02-02 20:06:32,Variant 4,4,
b1_4,Return_application_back_to_applicant,,2004-02-02 20:08:27,Variant 36,36,
b1_0,Check_credit_history,,2004-02-02 20:14:07,Variant 38,38,
b1_5,Loan__application_received,,2004-02-02 20:30:00,Variant 8,8,
b1_3,Check__application__form_completeness,,2004-02-02 20:37:49,Variant 1,1,
b1_2,Assess_loan_risk,,2004-02-02 20:38:06,Variant 4,4,
b1_4,Receive_updated_application,,2004-02-02 20:40:41,Variant 36,36,
b1_0,Appraise_property,,2004-02-02 20:43:30,Variant 38,38,
b1_0,Assess_loan_risk,,2004-02-02 20:48:23,Variant 38,38,
b1_5,Check__application__form_completeness,,2004-02-02 20:51:42,Variant 8,8,
b1_3,Appraise_property,,2004-02-02 20:52:35,Variant 1,1,
b1_5,Check_credit_history,,2004-02-02 20:57:39,Variant 8,8,
b1_0,Assess_eligibility,,2004-02-02 20:59:03,Variant 38,38,
b1_6,Loan__application_received,,2004-02-02 21:00:00,Variant 8,8,
b1_1,Assess_eligibility,,2004-02-02 21:05:56,Variant 7,7,
b1_2,Assess_eligibility,,2004-02-02 21:07:09,Variant 4,4,
b1_6,Check__application__form_completeness,,2004-02-02 21:10:27,Variant 8,8,
b1_5,Assess_loan_risk,,2004-02-02 21:15:01,Variant 8,8,
b1_6,Check_credit_history,,2004-02-02 21:17:17,Variant 8,8,
b1_5,Appraise_property,,2004-02-02 21:19:21,Variant 8,8,
b1_5,Assess_eligibility,,2004-02-02 21:22:29,Variant 8,8,
