REQUEST_ID,ACTIVITY,START_DATE,END_DATE,CE_UO,ROLE,CLOSURE_TYPE,CLOSURE_REASON,WORKING_STATE,case_cost,outcome
201710002234,Request created,2017-10-09 11:53:27,2018-09-13 15:19:05.000,27,APPLICANT,Client Recess,6 - Relationship changed,Deleted,1.5,
201711005290,Request created,2017-11-20 15:55:07,2017-11-20 15:55:45.000,98,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,1.5,
201711005290,Service closure Request with network responsibility,2017-11-20 15:55:45,2018-10-03 10:49:45.000,,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,2.1,
20181016000,Request created,2018-01-31 11:56:46,2018-01-31 11:57:23.000,151,APPLICANT,Bank Recess,1 - Client lost,Completed,1.5,
20181016000,Service closure Request with network responsibility,2018-01-31 11:57:23,2018-01-31 12:02:58.000,,APPLICANT,Bank Recess,1 - Client lost,Completed,2.1,
20181016000,Authorization Requested,2018-01-31 12:02:58,2018-01-31 19:38:36.000,152,DIRECTOR,Bank Recess,1 - Client lost,Completed,4.91,
20181016000,Service closure Request with BO responsibility,2018-01-31 19:38:36,2018-03-09 09:35:37.000,BOF,BACK-OFFICE,Bank Recess,1 - Client lost,Completed,5.71,
20182006118,Request created,2018-02-14 13:17:07,2018-02-14 13:20:18.000,179,APPLICANT,Client Recess,1 - Client lost,Completed,1.5,
20182006118,Evaluating Request (WITH registered letter),2018-02-14 13:20:18,2018-02-14 15:27:25.000,180,DIRECTOR,Client Recess,1 - Client lost,Completed,11.31,
20182006118,Service closure Request with network responsibility,2018-02-14 15:49:19,2018-02-14 15:50:07.000,180,APPLICANT,Client Recess,1 - Client lost,Completed,11.91,
20182006118,Service closure Request with BO responsibility,2018-02-14 15:50:07,2018-03-15 12:08:56.000,BOF,BACK-OFFICE,Client Recess,1 - Client lost,Completed,12.71,
20183002589,Request created,2018-03-07 16:59:43,2019-01-16 10:38:51.000,218,APPLICANT,Bank Recess,,Deleted,1.5,
20181016000,Pending Request for Reservation Closure,2018-03-09 09:35:37,2018-03-09 09:37:00.000,BOF,BACK-OFFICE,Bank Recess,1 - Client lost,Completed,6.51,
20181016000,Pending Liquidation Request,2018-03-09 09:37:00,2018-03-14 03:20:47.000,BOF,BACK-OFFICE,Bank Recess,1 - Client lost,Completed,7.31,
20181016000,Request completed with account closure,2018-03-14 03:20:47,2018-03-14 03:20:47.000,BOF,BACK-OFFICE,Bank Recess,1 - Client lost,Completed,8.11,False
20183005808,Request created,2018-03-15 10:48:25,2018-03-15 10:50:34.000,212,APPLICANT,Client Recess,4 - Open new bank account. Same dip,Completed,1.5,
20183005808,Service closure Request with network responsibility,2018-03-15 10:50:34,2018-11-14 17:27:47.000,,APPLICANT,Client Recess,4 - Open new bank account. Same dip,Completed,2.1,
20182006118,Pending Request for Reservation Closure,2018-03-15 12:08:56,2018-03-15 12:11:44.000,BOF,BACK-OFFICE,Client Recess,1 - Client lost,Completed,13.510000000000002,
20182006118,Pending Liquidation Request,2018-03-15 12:11:44,2018-03-20 03:24:20.000,BOF,BACK-OFFICE,Client Recess,1 - Client lost,Completed,14.310000000000002,
20183006558,Request created,2018-03-16 13:29:33,2018-03-16 13:29:55.000,28,APPLICANT,Bank Recess,1 - Client lost,Completed,1.5,
20183006558,Service closure Request with network responsibility,2018-03-16 13:29:55,2018-03-16 13:30:37.000,,APPLICANT,Bank Recess,1 - Client lost,Completed,2.1,
20183006558,Authorization Requested,2018-03-16 13:30:37,2018-10-15 12:03:10.000,32,DIRECTOR,Bank Recess,1 - Client lost,Completed,4.91,
20182006118,Request completed with account closure,2018-03-20 03:24:20,2018-03-20 03:24:20.000,BOF,BACK-OFFICE,Client Recess,1 - Client lost,Completed,15.110000000000005,False
20183007475,Request created,2018-03-20 10:47:51,2018-03-20 10:48:10.000,225,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,1.5,
