caseid,activity,resource,ts,outcome
2760925,register submission date request,560872,2010-10-05 07:00:00,
2782209,register submission date request,560925,2010-10-06 07:00:00,
2771451,register submission date request,6,2010-10-06 07:00:00,
2783345,register submission date request,2670601,2010-10-07 07:00:00,
2760925,phase application received,560872,2010-10-07 21:57:14,False
2783345,registrer date of publishing received request,2670601,2010-10-11 07:00:00,
2783345,enter senddate procedure confirmation,2670601,2010-10-11 07:00:00,
2783345,enter senddate procedure confirmation,2670601,2010-10-11 07:00:00,
2794023,register submission date request,560872,2010-10-12 07:00:00,
2797217,register submission date request,560872,2010-10-12 07:00:00,
2797217,enter senddate acknowledgement,560872,2010-10-12 07:00:00,
2782209,phase application received,560925,2010-10-12 16:54:56,
2782209,reception through OLO,560925,2010-10-12 16:56:10,
2782209,forward to the competent authority,560925,2010-10-12 16:56:15,
2782209,regular procedure without MER,560925,2010-10-12 16:56:28,
2802160,register submission date request,560912,2010-10-13 07:00:00,
2799076,register submission date request,560912,2010-10-13 07:00:00,
2794023,phase application received,560872,2010-10-14 20:42:23,
2794023,reception through OLO,560872,2010-10-14 20:43:34,
2794023,forward to the competent authority,560872,2010-10-14 20:43:39,
2794023,regular procedure without MER,560872,2010-10-14 20:43:49,
2797217,enter senddate procedure confirmation,560872,2010-10-15 07:00:00,
2794023,enter senddate procedure confirmation,560872,2010-10-15 07:00:00,
2797217,enter senddate procedure confirmation,560872,2010-10-15 07:00:00,
2797217,phase application received,560872,2010-10-15 17:21:40,
2797217,reception through OLO,560872,2010-10-15 17:21:48,
2797217,send confirmation receipt,560872,2010-10-15 17:22:07,
2797217,forward to the competent authority,560872,2010-10-15 17:23:54,
2797217,regular procedure without MER,560872,2010-10-15 17:25:19,
2797217,send procedure confirmation,560872,2010-10-15 18:33:01,
2797217,extend procedure term,560872,2010-10-15 18:34:43,
2797217,registrer date of publishing received request,560872,2010-10-15 18:45:42,
2797217,WAW permit aspect,560872,2010-10-15 18:47:24,
2797217,applicant is stakeholder,560872,2010-10-15 19:02:19,
2794023,send procedure confirmation,560872,2010-10-15 19:53:09,
2794023,registrer date of publishing received request,560872,2010-10-15 19:54:46,
2794023,WAW permit aspect,560872,2010-10-15 19:55:28,
2794023,applicant is stakeholder,560872,2010-10-15 19:55:41,
2782209,enter senddate procedure confirmation,560912,2010-10-18 07:00:00,
2802160,enter senddate procedure confirmation,560912,2010-10-18 07:00:00,
2802160,phase application received,560912,2010-10-18 20:54:50,
2802160,reception through OLO,560912,2010-10-18 20:55:00,
2802160,forward to the competent authority,560912,2010-10-18 20:55:10,
2802160,regular procedure without MER,560912,2010-10-18 20:55:20,
2802160,send procedure confirmation,560912,2010-10-18 21:01:02,
2802160,registrer date of publishing received request,560912,2010-10-18 21:07:21,
2802160,applicant is stakeholder,560912,2010-10-18 21:09:49,
2782209,send procedure confirmation,560912,2010-10-18 22:56:37,
2782209,applicant is stakeholder,560912,2010-10-18 22:56:54,
2782209,registrer date of publishing received request,560912,2010-10-18 22:57:23,
2802160,enter senddate procedure confirmation,560890,2010-10-19 07:00:00,
2771451,enter senddate procedure confirmation,2670601,2010-10-19 07:00:00,
2814003,register submission date request,560912,2010-10-19 07:00:00,
2883285,register submission date request,560872,2010-10-19 07:00:00,
2783345,enter senddate procedure confirmation,2670601,2010-10-19 07:00:00,
2799076,phase application received,560912,2010-10-19 19:47:20,False
2883285,enter senddate procedure confirmation,560872,2010-10-21 07:00:00,
2817543,register submission date request,560925,2010-10-22 07:00:00,
2830183,register submission date request,560925,2010-10-22 07:00:00,
2817543,enter senddate acknowledgement,560925,2010-10-25 07:00:00,
2817543,enter senddate procedure confirmation,560872,2010-10-25 07:00:00,
2831567,register submission date request,560912,2010-10-25 07:00:00,
2833073,register submission date request,560912,2010-10-25 07:00:00,
2817543,phase application received,560925,2010-10-25 16:33:31,
2817543,reception through OLO,560925,2010-10-25 16:33:50,
2817543,send confirmation receipt,560925,2010-10-25 16:37:23,
2817543,forward to the competent authority,560925,2010-10-25 16:37:42,
2817543,regular procedure without MER,560925,2010-10-25 16:37:52,
2817543,MER present,560925,2010-10-25 16:38:00,
2817543,activities regular procedure,560925,2010-10-25 16:38:07,
2817543,phased application,560925,2010-10-25 16:38:16,
2817543,first or second phase,560925,2010-10-25 16:38:21,
2817543,term 14 or 26 weeks,560925,2010-10-25 16:38:42,
2797217,treat subcases completeness,560872,2010-10-25 22:21:50,
2797217,terminate on request,560872,2010-10-25 22:22:03,
2797217,subcases completeness completed,560872,2010-10-25 22:22:21,
2797217,activities regular procedure,560872,2010-10-25 22:22:29,
2797217,regular procedure applies,560872,2010-10-25 22:22:32,
2797217,request complete,560872,2010-10-25 22:22:59,
2797217,phase application receptive,560872,2010-10-25 22:22:59,
2797217,WAW permit aspect,560872,2010-10-25 22:23:05,
2797217,treat subcases content,560872,2010-10-25 22:23:15,
2797217,completed subcases content,560872,2010-10-25 22:23:17,
2797217,article 34  WABO applies,560872,2010-10-25 22:23:23,
2797217,assessment of content completed,560872,2010-10-25 22:23:25,
2797217,phase advice known,560872,2010-10-25 22:23:25,
2797217,grounds for refusal,560872,2010-10-25 22:23:30,
2797217,ask stakeholders views,560872,2010-10-25 22:23:39,
2797217,suspension ground applicable,560872,2010-10-25 22:23:45,
2797217,by law,560872,2010-10-25 22:23:49,
2797217,creating environmental permit decision,560872,2010-10-25 22:23:49,
2797217,generating decision environmental permit,560872,2010-10-25 22:23:52,
2797217,register objection and appeal periods,560872,2010-10-25 22:24:22,
2797217,transcript decision environmental permit to stakeholders,560872,2010-10-25 22:34:54,
2797217,generate publication document decision environmental permit,560872,2010-10-25 22:35:05,
2797217,register date environmental permit decision,560872,2010-10-26 07:00:00,
2825088,register submission date request,560925,2010-10-26 07:00:00,
2838476,register submission date request,560925,2010-10-26 07:00:00,
2797217,registrer date of publishing received request,560872,2010-10-27 07:00:00,
2824783,register submission date request,560925,2010-10-27 07:00:00,
2782209,registrer date of publishing received request,560912,2010-10-27 07:00:00,
2802160,registrer date of publishing received request,560912,2010-10-27 07:00:00,
2794023,registrer date of publishing received request,560872,2010-10-27 07:00:00,
2824783,phase application received,560925,2010-10-28 22:34:42,
2824783,reception through OLO,560925,2010-10-28 22:34:57,
2825088,phase application received,560925,2010-10-28 22:50:31,
2825088,reception through OLO,560925,2010-10-28 22:50:42,
2832460,register submission date request,560912,2010-11-01 08:00:00,
2797217,enter senddate decision environmental permit,560872,2010-11-01 08:00:00,
2814003,enter senddate procedure confirmation,560912,2010-11-01 08:00:00,
2814003,enter senddate procedure confirmation,560912,2010-11-01 08:00:00,
2833073,enter senddate procedure confirmation,560912,2010-11-02 08:00:00,
2840553,register submission date request,560925,2010-11-02 08:00:00,
2831567,enter senddate procedure confirmation,560912,2010-11-02 08:00:00,
2830183,enter senddate procedure confirmation,560925,2010-11-02 08:00:00,
2840219,register submission date request,560925,2010-11-02 08:00:00,
2832460,enter senddate procedure confirmation,560912,2010-11-02 08:00:00,
2839858,register submission date request,560925,2010-11-02 08:00:00,
2847603,register submission date request,560912,2010-11-02 08:00:00,
2817543,send procedure confirmation,560950,2010-11-02 17:06:18,
2831567,phase application received,560912,2010-11-02 19:44:58,
2831567,reception through OLO,560912,2010-11-02 19:45:04,
2831567,forward to the competent authority,560912,2010-11-02 19:45:09,
2831567,regular procedure without MER,560912,2010-11-02 19:45:17,
2831567,send procedure confirmation,560912,2010-11-02 19:52:09,
2832460,phase application received,560912,2010-11-02 22:03:34,
2832460,reception through OLO,560912,2010-11-02 22:03:46,
