Case ID,Activity,Resource,Complete Timestamp,Outcome,Progress
2760925,register submission date request,560872,2010-10-05 07:00:00,None,continue
2782209,register submission date request,560925,2010-10-06 07:00:00,None,continue
2771451,register submission date request,6,2010-10-06 07:00:00,None,continue
2783345,register submission date request,2670601,2010-10-07 07:00:00,None,continue
2760925,phase application received,560872,2010-10-07 21:57:14,False,end
2783345,enter senddate procedure confirmation,2670601,2010-10-11 07:00:00,None,continue
2783345,enter senddate procedure confirmation,2670601,2010-10-11 07:00:00,None,continue
2783345,registrer date of publishing received request,2670601,2010-10-11 07:00:00,None,continue
2794023,register submission date request,560872,2010-10-12 07:00:00,None,continue
2797217,register submission date request,560872,2010-10-12 07:00:00,None,continue
2797217,enter senddate acknowledgement,560872,2010-10-12 07:00:00,None,continue
2782209,phase application received,560925,2010-10-12 16:54:56,None,continue
2782209,reception through OLO,560925,2010-10-12 16:56:10,None,continue
2782209,forward to the competent authority,560925,2010-10-12 16:56:15,None,continue
2782209,regular procedure without MER,560925,2010-10-12 16:56:28,None,continue
2802160,register submission date request,560912,2010-10-13 07:00:00,None,continue
2799076,register submission date request,560912,2010-10-13 07:00:00,None,continue
2794023,phase application received,560872,2010-10-14 20:42:23,None,continue
2794023,reception through OLO,560872,2010-10-14 20:43:34,None,continue
2794023,forward to the competent authority,560872,2010-10-14 20:43:39,None,continue
2794023,regular procedure without MER,560872,2010-10-14 20:43:49,None,continue
2797217,enter senddate procedure confirmation,560872,2010-10-15 07:00:00,None,continue
2794023,enter senddate procedure confirmation,560872,2010-10-15 07:00:00,None,continue
2797217,enter senddate procedure confirmation,560872,2010-10-15 07:00:00,None,continue
2797217,phase application received,560872,2010-10-15 17:21:40,None,continue
2797217,reception through OLO,560872,2010-10-15 17:21:48,None,continue
2797217,send confirmation receipt,560872,2010-10-15 17:22:07,None,continue
2797217,forward to the competent authority,560872,2010-10-15 17:23:54,None,continue
2797217,regular procedure without MER,560872,2010-10-15 17:25:19,None,continue
2797217,send procedure confirmation,560872,2010-10-15 18:33:01,None,continue
2797217,extend procedure term,560872,2010-10-15 18:34:43,None,continue
2797217,registrer date of publishing received request,560872,2010-10-15 18:45:42,None,continue
2797217,WAW permit aspect,560872,2010-10-15 18:47:24,None,continue
2797217,applicant is stakeholder,560872,2010-10-15 19:02:19,None,continue
2794023,send procedure confirmation,560872,2010-10-15 19:53:09,None,continue
2794023,registrer date of publishing received request,560872,2010-10-15 19:54:46,None,continue
2794023,WAW permit aspect,560872,2010-10-15 19:55:28,None,continue
2794023,applicant is stakeholder,560872,2010-10-15 19:55:41,None,continue
2782209,enter senddate procedure confirmation,560912,2010-10-18 07:00:00,None,continue
2802160,enter senddate procedure confirmation,560912,2010-10-18 07:00:00,None,continue
2802160,phase application received,560912,2010-10-18 20:54:50,None,continue
2802160,reception through OLO,560912,2010-10-18 20:55:00,None,continue
2802160,forward to the competent authority,560912,2010-10-18 20:55:10,None,continue
2802160,regular procedure without MER,560912,2010-10-18 20:55:20,None,continue
2802160,send procedure confirmation,560912,2010-10-18 21:01:02,None,continue
2802160,registrer date of publishing received request,560912,2010-10-18 21:07:21,None,continue
2802160,applicant is stakeholder,560912,2010-10-18 21:09:49,None,continue
2782209,send procedure confirmation,560912,2010-10-18 22:56:37,None,continue
2782209,applicant is stakeholder,560912,2010-10-18 22:56:54,None,continue
2782209,registrer date of publishing received request,560912,2010-10-18 22:57:23,None,continue
2802160,enter senddate procedure confirmation,560890,2010-10-19 07:00:00,None,continue
2771451,enter senddate procedure confirmation,2670601,2010-10-19 07:00:00,None,continue
2814003,register submission date request,560912,2010-10-19 07:00:00,None,continue
2883285,register submission date request,560872,2010-10-19 07:00:00,None,continue
2783345,enter senddate procedure confirmation,2670601,2010-10-19 07:00:00,None,continue
2799076,phase application received,560912,2010-10-19 19:47:20,False,end
2883285,enter senddate procedure confirmation,560872,2010-10-21 07:00:00,None,continue
2817543,register submission date request,560925,2010-10-22 07:00:00,None,continue
2830183,register submission date request,560925,2010-10-22 07:00:00,None,continue
2817543,enter senddate acknowledgement,560925,2010-10-25 07:00:00,None,continue
2817543,enter senddate procedure confirmation,560872,2010-10-25 07:00:00,None,continue
2831567,register submission date request,560912,2010-10-25 07:00:00,None,continue
2833073,register submission date request,560912,2010-10-25 07:00:00,None,continue
2817543,phase application received,560925,2010-10-25 16:33:31,None,continue
2817543,reception through OLO,560925,2010-10-25 16:33:50,None,continue
2817543,send confirmation receipt,560925,2010-10-25 16:37:23,None,continue
2817543,forward to the competent authority,560925,2010-10-25 16:37:42,None,continue
2817543,regular procedure without MER,560925,2010-10-25 16:37:52,None,continue
2817543,MER present,560925,2010-10-25 16:38:00,None,continue
2817543,activities regular procedure,560925,2010-10-25 16:38:07,None,continue
2817543,phased application,560925,2010-10-25 16:38:16,None,continue
2817543,first or second phase,560925,2010-10-25 16:38:21,None,continue
2817543,term 14 or 26 weeks,560925,2010-10-25 16:38:42,None,continue
2797217,treat subcases completeness,560872,2010-10-25 22:21:50,None,continue
2797217,terminate on request,560872,2010-10-25 22:22:03,None,continue
2797217,subcases completeness completed,560872,2010-10-25 22:22:21,None,continue
2797217,activities regular procedure,560872,2010-10-25 22:22:29,None,continue
2797217,regular procedure applies,560872,2010-10-25 22:22:32,None,continue
2797217,request complete,560872,2010-10-25 22:22:59,None,continue
2797217,phase application receptive,560872,2010-10-25 22:22:59,None,continue
2797217,WAW permit aspect,560872,2010-10-25 22:23:05,None,continue
2797217,treat subcases content,560872,2010-10-25 22:23:15,None,continue
2797217,completed subcases content,560872,2010-10-25 22:23:17,None,continue
2797217,article 34  WABO applies,560872,2010-10-25 22:23:23,None,continue
2797217,assessment of content completed,560872,2010-10-25 22:23:25,None,continue
2797217,phase advice known,560872,2010-10-25 22:23:25,None,continue
2797217,grounds for refusal,560872,2010-10-25 22:23:30,None,continue
