,Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,outcome
0,Application_387012864,A_Create Application,User_1,2016-01-02 01:00:01.353,2016/01/02 01:00:01.353,
1,Application_1966208034,A_Create Application,User_1,2016-01-02 02:06:50.703,2016/01/02 02:06:50.703,
2,Application_1966208034,A_Submitted,User_1,2016-01-02 02:06:50.748,2016/01/02 02:06:50.748,
3,Application_1966208034,A_Concept,User_1,2016-01-02 02:08:20.419,2016/01/02 02:08:20.419,
4,Application_470922426,A_Create Application,User_52,2016-01-02 23:04:02.686,2016/01/02 23:04:02.686,
5,Application_857715587,A_Create Application,User_3,2016-01-02 23:59:43.597,2016/01/02 23:59:43.597,
6,Application_857715587,W_Complete application,User_3,2016-01-02 23:59:43.606,2016/01/03 00:06:51.629,
7,Application_857715587,A_Concept,User_3,2016-01-02 23:59:43.608,2016/01/02 23:59:43.608,
8,Application_857715587,A_Accepted,User_3,2016-01-03 00:03:31.837,2016/01/03 00:03:31.837,
9,Application_857715587,O_Create Offer,User_3,2016-01-03 00:06:15.693,2016/01/03 00:06:15.693,
10,Application_857715587,O_Created,User_3,2016-01-03 00:06:17.078,2016/01/03 00:06:17.078,
11,Application_857715587,W_Call after offers,User_3,2016-01-03 00:06:51.629,2016/01/03 00:06:51.629,
12,Application_857715587,A_Complete,User_3,2016-01-03 00:06:51.629,2016/01/03 00:06:51.629,
13,Application_857715587,O_Sent (mail and online),User_3,2016-01-03 00:06:51.629,2016/01/03 00:06:51.629,
14,Application_1966208034,W_Complete application,User_19,2016-01-03 00:25:45.461,2016/01/03 00:59:33.658,
15,Application_1966208034,A_Accepted,User_19,2016-01-03 00:47:16.786,2016/01/03 00:47:16.786,
16,Application_1966208034,O_Create Offer,User_19,2016-01-03 00:52:19.034,2016/01/03 00:52:19.034,
17,Application_1966208034,O_Created,User_19,2016-01-03 00:52:20.203,2016/01/03 00:52:20.203,
18,Application_1966208034,O_Sent (mail and online),User_19,2016-01-03 00:59:33.633,2016/01/03 00:59:33.633,
19,Application_1966208034,W_Call after offers,User_19,2016-01-03 00:59:33.668,2016/01/03 00:59:33.668,
20,Application_1966208034,A_Complete,User_19,2016-01-03 00:59:33.671,2016/01/03 00:59:33.671,
21,Application_1118236712,A_Create Application,User_1,2016-01-03 01:18:10.582,2016/01/03 01:18:10.582,
22,Application_1118236712,A_Submitted,User_1,2016-01-03 01:18:10.626,2016/01/03 01:18:10.626,
23,Application_1118236712,A_Concept,User_1,2016-01-03 01:19:17.754,2016/01/03 01:19:17.754,
24,Application_1357431492,A_Create Application,User_1,2016-01-04 04:19:57.948,2016/01/04 04:19:57.948,
25,Application_1357431492,A_Submitted,User_1,2016-01-04 04:19:57.982,2016/01/04 04:19:57.982,
26,Application_1357431492,A_Concept,User_1,2016-01-04 04:20:32.772,2016/01/04 04:20:32.772,
27,Application_1886382319,A_Create Application,User_2,2016-01-04 17:51:28.458,2016/01/04 17:51:28.458,
28,Application_1118236712,W_Complete application,User_108,2016-01-04 18:25:59.291,2016/01/07 01:30:21.468,
29,Application_54405635,A_Create Application,User_47,2016-01-04 19:40:54.565,2016/01/04 19:40:54.565,
30,Application_395903076,A_Create Application,User_1,2016-01-04 19:43:43.965,2016/01/04 19:43:43.965,
31,Application_395903076,A_Submitted,User_1,2016-01-04 19:43:44.541,2016/01/04 19:43:44.541,
32,Application_106973225,A_Create Application,User_1,2016-01-04 20:18:36.651,2016/01/04 20:18:36.651,
33,Application_1754943309,A_Create Application,User_1,2016-01-04 21:00:45.773,2016/01/04 21:00:45.773,
34,Application_1754943309,A_Submitted,User_1,2016-01-04 21:00:45.805,2016/01/04 21:00:45.805,
35,Application_1754943309,A_Concept,User_1,2016-01-04 21:01:58.820,2016/01/04 21:01:58.820,
36,Application_1754943309,W_Complete application,User_15,2016-01-04 21:17:45.774,2016/01/04 21:17:45.774,
37,Application_1357431492,W_Complete application,User_89,2016-01-04 22:37:29.099,2016/01/04 22:55:11.673,
38,Application_1357431492,A_Accepted,User_89,2016-01-04 22:45:24.147,2016/01/04 22:45:24.147,
39,Application_1357431492,O_Create Offer,User_89,2016-01-04 22:54:28.730,2016/01/04 22:54:28.730,
40,Application_1357431492,O_Created,User_89,2016-01-04 22:54:30.299,2016/01/04 22:54:30.299,
41,Application_1357431492,O_Sent (mail and online),User_89,2016-01-04 22:55:11.659,2016/01/04 22:55:11.659,
42,Application_1357431492,W_Call after offers,User_89,2016-01-04 22:55:11.683,2016/01/04 22:55:11.683,
43,Application_1357431492,A_Complete,User_89,2016-01-04 22:55:11.685,2016/01/04 22:55:11.685,
44,Application_920048730,A_Create Application,User_31,2016-01-04 23:25:14.102,2016/01/04 23:25:14.102,
45,Application_920048730,W_Complete application,User_31,2016-01-04 23:25:14.112,2016/01/04 23:25:14.112,
46,Application_1947668470,A_Create Application,User_10,2016-01-04 23:40:06.912,2016/01/04 23:40:06.912,
47,Application_1413308979,A_Create Application,User_1,2016-01-05 00:57:50.744,2016/01/05 00:57:50.744,
48,Application_1413308979,A_Submitted,User_1,2016-01-05 00:57:50.744,2016/01/05 00:57:50.744,
49,Application_212010049,A_Create Application,User_5,2016-01-05 01:19:59.986,2016/01/05 01:19:59.986,
50,Application_1130151790,A_Create Application,User_10,2016-01-05 02:48:54.583,2016/01/05 02:48:54.583,
51,Application_1130151790,A_Concept,User_10,2016-01-05 02:48:54.585,2016/01/05 02:48:54.585,
52,Application_1130151790,W_Complete application,User_10,2016-01-05 02:48:54.595,2016/01/05 02:54:28.079,
53,Application_1130151790,A_Accepted,User_10,2016-01-05 02:49:41.674,2016/01/05 02:49:41.674,
54,Application_1130151790,O_Create Offer,User_10,2016-01-05 02:53:39.976,2016/01/05 02:53:39.976,
55,Application_1130151790,O_Created,User_10,2016-01-05 02:53:41.287,2016/01/05 02:53:41.287,
56,Application_1130151790,O_Sent (mail and online),User_10,2016-01-05 02:54:28.061,2016/01/05 02:54:28.061,
57,Application_1130151790,W_Call after offers,User_10,2016-01-05 02:54:28.089,2016/01/05 02:54:28.089,
58,Application_1130151790,A_Complete,User_10,2016-01-05 02:54:28.091,2016/01/05 02:54:28.091,
59,Application_421364849,A_Create Application,User_1,2016-01-05 03:04:07.898,2016/01/05 03:04:07.898,
60,Application_421364849,A_Submitted,User_1,2016-01-05 03:04:07.935,2016/01/05 03:04:07.935,
61,Application_421364849,A_Concept,User_1,2016-01-05 03:05:02.007,2016/01/05 03:05:02.007,
62,Application_748088065,A_Create Application,User_1,2016-01-05 04:40:34.453,2016/01/05 04:40:34.453,
63,Application_748088065,A_Submitted,User_1,2016-01-05 04:40:34.498,2016/01/05 04:40:34.498,
64,Application_748088065,A_Concept,User_1,2016-01-05 04:41:54.108,2016/01/05 04:41:54.108,
65,Application_1746133767,A_Create Application,User_1,2016-01-05 06:22:59.108,2016/01/05 06:22:59.108,
66,Application_1746133767,A_Submitted,User_1,2016-01-05 06:22:59.140,2016/01/05 06:22:59.140,
67,Application_854409161,A_Create Application,User_85,2016-01-05 17:48:04.667,2016/01/05 17:48:04.667,
68,Application_854409161,W_Complete application,User_85,2016-01-05 17:48:04.732,2016/01/05 17:55:24.155,
69,Application_854409161,A_Concept,User_85,2016-01-05 17:48:04.737,2016/01/05 17:48:04.737,
70,Application_854409161,A_Accepted,User_85,2016-01-05 17:51:19.717,2016/01/05 17:51:19.717,
71,Application_854409161,O_Create Offer,User_85,2016-01-05 17:54:20.525,2016/01/05 17:54:20.525,
72,Application_854409161,O_Created,User_85,2016-01-05 17:54:21.868,2016/01/05 17:54:21.868,
73,Application_854409161,O_Sent (mail and online),User_85,2016-01-05 17:55:24.140,2016/01/05 17:55:24.140,
74,Application_854409161,W_Call after offers,User_85,2016-01-05 17:55:24.163,2016/01/05 17:55:24.163,
75,Application_854409161,A_Complete,User_85,2016-01-05 17:55:24.165,2016/01/05 17:55:24.165,
76,Application_421364849,W_Complete application,User_3,2016-01-05 20:42:44.208,2016/03/29 17:15:27.373,
77,Application_409724822,A_Create Application,User_1,2016-01-05 22:28:06.969,2016/01/05 22:28:06.969,
78,Application_748088065,W_Complete application,User_37,2016-01-06 01:05:56.999,2016/01/06 01:05:56.999,
79,Application_13372270,A_Create Application,User_1,2016-01-06 01:12:44.241,2016/01/06 01:12:44.241,
80,Application_13372270,A_Submitted,User_1,2016-01-06 01:12:44.277,2016/01/06 01:12:44.277,
81,Application_1251541081,A_Create Application,User_14,2016-01-06 01:30:55.985,2016/01/06 01:30:55.985,
82,Application_1251541081,W_Complete application,User_14,2016-01-06 01:30:55.995,2016/01/06 01:34:41.794,
