Case ID,Activity,Resource,Complete Timestamp,(case) Accepted,(case) ApplicationID,(case) CreditScore,(case) FirstWithdrawalAmount,(case) MonthlyCost,(case) NumberOfTerms,(case) OfferedAmount,(case) Selected,Action,EventID,EventOrigin,OfferID,lifecycle:transition
Offer_247135719,O_Create Offer,User_17,2016-01-02 18:17:05.720,True,Application_196483749,0,10000.0,201.76,57,10000.0,False,Created,Offer_247135719,Offer,,complete
Offer_247135719,O_Created,User_17,2016-01-02 18:17:08.762,True,Application_196483749,0,10000.0,201.76,57,10000.0,False,statechange,OfferState_124849367,Offer,Offer_247135719,complete
Offer_247135719,O_Sent (online only),User_17,2016-01-02 18:19:21.330,True,Application_196483749,0,10000.0,201.76,57,10000.0,False,statechange,OfferState_440662877,Offer,Offer_247135719,complete
Offer_247135719,O_Cancelled,User_17,2016-01-02 18:21:26.034,True,Application_196483749,0,10000.0,201.76,57,10000.0,False,statechange,OfferState_591416028,Offer,Offer_247135719,complete
Offer_941964966,O_Create Offer,User_17,2016-01-02 18:21:42.022,True,Application_196483749,0,4100.0,201.76,57,10000.0,False,Created,Offer_941964966,Offer,,complete
Offer_941964966,O_Created,User_17,2016-01-02 18:21:43.573,True,Application_196483749,0,4100.0,201.76,57,10000.0,False,statechange,OfferState_275382868,Offer,Offer_941964966,complete
Offer_941964966,O_Sent (mail and online),User_17,2016-01-02 18:22:09.421,True,Application_196483749,0,4100.0,201.76,57,10000.0,False,statechange,OfferState_563158836,Offer,Offer_941964966,complete
Offer_1148420274,O_Create Offer,User_17,2016-01-02 18:26:43.598,True,Application_196483749,0,0.0,120.0,58,6000.0,False,Created,Offer_1148420274,Offer,,complete
Offer_1148420274,O_Created,User_17,2016-01-02 18:26:44.925,True,Application_196483749,0,0.0,120.0,58,6000.0,False,statechange,OfferState_1323744692,Offer,Offer_1148420274,complete
Offer_1148420274,O_Sent (mail and online),User_17,2016-01-02 18:26:57.389,True,Application_196483749,0,0.0,120.0,58,6000.0,False,statechange,OfferState_1151067844,Offer,Offer_1148420274,complete
Offer_1365106765,O_Create Offer,User_17,2016-01-02 18:55:46.369,True,Application_1120819670,1021,6900.0,150.73,53,6900.0,True,Created,Offer_1365106765,Offer,,complete
Offer_1365106765,O_Created,User_17,2016-01-02 18:55:47.693,True,Application_1120819670,1021,6900.0,150.73,53,6900.0,True,statechange,OfferState_1700055433,Offer,Offer_1365106765,complete
Offer_1365106765,O_Sent (mail and online),User_17,2016-01-02 18:59:50.268,True,Application_1120819670,1021,6900.0,150.73,53,6900.0,True,statechange,OfferState_16123997,Offer,Offer_1365106765,complete
Offer_1207095934,O_Create Offer,User_17,2016-01-02 19:35:08.906,True,Application_2012588584,0,0.0,400.0,78,27000.0,False,Created,Offer_1207095934,Offer,,complete
Offer_1207095934,O_Created,User_17,2016-01-02 19:35:10.063,True,Application_2012588584,0,0.0,400.0,78,27000.0,False,statechange,OfferState_690849423,Offer,Offer_1207095934,complete
Offer_1015515944,O_Create Offer,User_17,2016-01-02 19:35:27.467,True,Application_2012588584,809,27000.0,402.36,78,27000.0,True,Created,Offer_1015515944,Offer,,complete
Offer_1015515944,O_Created,User_17,2016-01-02 19:35:28.752,True,Application_2012588584,809,27000.0,402.36,78,27000.0,True,statechange,OfferState_880633476,Offer,Offer_1015515944,complete
Offer_1015515944,O_Sent (mail and online),User_17,2016-01-02 19:37:43.721,True,Application_2012588584,809,27000.0,402.36,78,27000.0,True,statechange,OfferState_568928144,Offer,Offer_1015515944,complete
Offer_1207095934,O_Sent (mail and online),User_17,2016-01-02 19:37:43.723,True,Application_2012588584,0,0.0,400.0,78,27000.0,False,statechange,OfferState_1929766603,Offer,Offer_1207095934,complete
Offer_1669071500,O_Create Offer,User_38,2016-01-02 20:02:38.994,False,Application_1691306052,0,500.0,200.0,33,6000.0,False,Created,Offer_1669071500,Offer,,complete
Offer_1669071500,O_Created,User_38,2016-01-02 20:02:40.442,False,Application_1691306052,0,500.0,200.0,33,6000.0,False,statechange,OfferState_680973097,Offer,Offer_1669071500,complete
Offer_1669071500,O_Sent (mail and online),User_38,2016-01-02 20:03:05.300,False,Application_1691306052,0,500.0,200.0,33,6000.0,False,statechange,OfferState_618588716,Offer,Offer_1669071500,complete
Offer_1209840642,O_Create Offer,User_19,2016-01-02 20:05:15.942,True,Application_428409768,0,15000.0,158.98,120,15000.0,False,Created,Offer_1209840642,Offer,,complete
Offer_1209840642,O_Created,User_19,2016-01-02 20:05:17.204,True,Application_428409768,0,15000.0,158.98,120,15000.0,False,statechange,OfferState_942949889,Offer,Offer_1209840642,complete
