Case ID,Activity,Resource,Complete Timestamp,outcome
N31327,Create Fine,548.0,2001-01-02 00:00:00,
N19818,Create Fine,540.0,2001-01-02 00:00:00,
C12823,Create Fine,27.0,2001-01-03 00:00:00,
N30945,Create Fine,550.0,2001-01-03 00:00:00,
N30449,Create Fine,536.0,2001-01-03 00:00:00,
N31036,Create Fine,546.0,2001-01-03 00:00:00,
N31641,Create Fine,538.0,2001-01-04 00:00:00,
N31630,Create Fine,538.0,2001-01-04 00:00:00,
N31625,Create Fine,538.0,2001-01-04 00:00:00,
N31342,Create Fine,548.0,2001-01-05 00:00:00,
S60018,Create Fine,26.0,2001-01-05 00:00:00,
S60452,Create Fine,11.0,2001-01-05 00:00:00,
S60455,Create Fine,11.0,2001-01-05 00:00:00,
S58835,Create Fine,28.0,2001-01-07 00:00:00,
S58823,Create Fine,28.0,2001-01-07 00:00:00,
S58836,Create Fine,28.0,2001-01-07 00:00:00,
N31642,Create Fine,538.0,2001-01-08 00:00:00,
N31646,Create Fine,538.0,2001-01-08 00:00:00,
S58835,Payment,,2001-01-09 00:00:00,False
N31351,Create Fine,548.0,2001-01-09 00:00:00,
S59998,Create Fine,30.0,2001-01-10 00:00:00,
N30965,Create Fine,550.0,2001-01-10 00:00:00,
S60018,Payment,,2001-01-10 00:00:00,False
S60052,Create Fine,35.0,2001-01-10 00:00:00,
N31662,Create Fine,538.0,2001-01-10 00:00:00,
S58836,Payment,,2001-01-10 00:00:00,
N30973,Create Fine,550.0,2001-01-11 00:00:00,
N30974,Create Fine,550.0,2001-01-11 00:00:00,
N31788,Create Fine,537.0,2001-01-11 00:00:00,
N31673,Create Fine,538.0,2001-01-12 00:00:00,
N31686,Create Fine,538.0,2001-01-12 00:00:00,
N31786,Create Fine,537.0,2001-01-12 00:00:00,
S59998,Payment,,2001-01-12 00:00:00,False
N30981,Create Fine,550.0,2001-01-13 00:00:00,
N19840,Create Fine,540.0,2001-01-13 00:00:00,
C12855,Create Fine,30.0,2001-01-13 00:00:00,
S60052,Payment,,2001-01-15 00:00:00,False
N19842,Create Fine,540.0,2001-01-15 00:00:00,
N31811,Create Fine,537.0,2001-01-15 00:00:00,
N31366,Create Fine,548.0,2001-01-15 00:00:00,
N31802,Create Fine,537.0,2001-01-15 00:00:00,
N19841,Create Fine,540.0,2001-01-15 00:00:00,
N30965,Payment,,2001-01-16 00:00:00,False
S60023,Create Fine,26.0,2001-01-17 00:00:00,
N32754,Create Fine,550.0,2001-01-17 00:00:00,
N31069,Create Fine,546.0,2001-01-17 00:00:00,
S60102,Create Fine,30.0,2001-01-18 00:00:00,
N19850,Create Fine,540.0,2001-01-18 00:00:00,
N31373,Create Fine,548.0,2001-01-18 00:00:00,
S43372,Create Fine,16.0,2001-01-18 00:00:00,
N31066,Create Fine,546.0,2001-01-18 00:00:00,
S43371,Create Fine,16.0,2001-01-18 00:00:00,
N31819,Create Fine,537.0,2001-01-19 00:00:00,
N31823,Create Fine,537.0,2001-01-19 00:00:00,
N32770,Create Fine,550.0,2001-01-20 00:00:00,
N31827,Create Fine,537.0,2001-01-22 00:00:00,
N31383,Create Fine,548.0,2001-01-23 00:00:00,
N31839,Create Fine,537.0,2001-01-23 00:00:00,
N32779,Create Fine,550.0,2001-01-23 00:00:00,
N31699,Create Fine,538.0,2001-01-24 00:00:00,
S39451,Create Fine,23.0,2001-01-24 00:00:00,
N32795,Create Fine,550.0,2001-01-25 00:00:00,
N32790,Create Fine,550.0,2001-01-25 00:00:00,
N31848,Create Fine,537.0,2001-01-25 00:00:00,
S39451,Payment,,2001-01-26 00:00:00,False
N31866,Create Fine,537.0,2001-01-26 00:00:00,
N31400,Create Fine,548.0,2001-01-26 00:00:00,
N32799,Create Fine,550.0,2001-01-27 00:00:00,
N31718,Create Fine,538.0,2001-01-27 00:00:00,
N31716,Create Fine,538.0,2001-01-27 00:00:00,
N32801,Create Fine,550.0,2001-01-29 00:00:00,
N31819,Payment,,2001-01-29 00:00:00,False
N32015,Create Fine,541.0,2001-01-29 00:00:00,
N30486,Create Fine,536.0,2001-01-29 00:00:00,
S58921,Create Fine,704.0,2001-01-30 00:00:00,
N32022,Create Fine,541.0,2001-01-30 00:00:00,
N30490,Create Fine,536.0,2001-01-31 00:00:00,
N31877,Create Fine,537.0,2001-01-31 00:00:00,
N30489,Create Fine,536.0,2001-01-31 00:00:00,
N32824,Create Fine,550.0,2001-01-31 00:00:00,
N31076,Create Fine,546.0,2001-02-01 00:00:00,
N31077,Create Fine,546.0,2001-02-01 00:00:00,
N32801,Payment,,2001-02-01 00:00:00,False
N30495,Create Fine,536.0,2001-02-01 00:00:00,
N31884,Create Fine,537.0,2001-02-02 00:00:00,
N32026,Create Fine,541.0,2001-02-02 00:00:00,
N32109,Create Fine,548.0,2001-02-02 00:00:00,
S60256,Create Fine,11.0,2001-02-02 00:00:00,
N32027,Create Fine,541.0,2001-02-02 00:00:00,
S60029,Create Fine,26.0,2001-02-02 00:00:00,
N30500,Create Fine,536.0,2001-02-03 00:00:00,
N32029,Create Fine,541.0,2001-02-03 00:00:00,
N32829,Create Fine,550.0,2001-02-03 00:00:00,
N31899,Create Fine,537.0,2001-02-05 00:00:00,
S43465,Create Fine,17.0,2001-02-05 00:00:00,
